ngram,domains,n_domains,legal_pmi,medical_pmi,scientific_pmi
delta responsible,legal,1,2.2935188477562924,,
asthma control,medical,1,,1.5439079753065337,
extra selection,scientific,1,,,0.3331444465285383
delta gamma llc,legal,1,2.6299910843775054,,
governing law,legal,1,3.0819762081205626,,
delta responsible delivery,legal,1,2.2935188477562924,,
functional somatic,medical,1,,1.7670515266207438,
fashioned seeds,scientific,1,,,0.3331444465285383
contract terminates,legal,1,3.1689875851101923,,
china onatrio,scientific,1,,,0.3331444465285383
prime holdings,legal,1,2.4758404045502473,,
carotid imt,medical,1,,1.2562259028547529,
blade rc lag,medical,1,,1.2562259028547529,
nexus corp prime,legal,1,2.4758404045502473,,
second line,medical,1,,1.5439079753065337,
increased risk,medical,1,,1.5439079753065337,
nexus corp,legal,1,2.8813055126584115,,
brain injury,medical,1,,1.2562259028547529,
chronic functional,medical,1,,1.5439079753065337,
acute diverticulitis,medical,1,,1.2562259028547529,
chemical reactions,scientific,1,,,0.3331444465285383
light lengths,scientific,1,,,0.3331444465285383
copper core,scientific,1,,,0.3331444465285383
forming stem,scientific,1,,,0.3331444465285383
carbolic acid,scientific,1,,,0.3331444465285383
lafleur proteins,scientific,1,,,0.3331444465285383
responsible delivery,legal,1,3.1689875851101923,,
forming stem cells,scientific,1,,,0.3331444465285383
binary fission,scientific,1,,,0.3331444465285383
delta gamma,legal,1,2.6299910843775054,,
black light,scientific,1,,,0.3331444465285383
diverse behaviors,scientific,1,,,0.3331444465285383
acs nsqip,medical,1,,1.2562259028547529,
somatic symptoms,medical,1,,1.7670515266207438,
corp prime,legal,1,2.4758404045502473,,
contract terminates nov,legal,1,2.2935188477562924,,
china onatrio canada,scientific,1,,,0.3331444465285383
governing law ohio,legal,1,2.2935188477562924,,
acid chain,scientific,1,,,0.3331444465285383
risk factors,medical,1,,2.1035237632419563,
dorsal pattern,scientific,1,,,0.3331444465285383
days pay,legal,1,2.8813055126584115,,
jacket membrane,scientific,1,,,0.3331444465285383
blade rc,medical,1,,1.2562259028547529,
functional somatic symptoms,medical,1,,1.7670515266207438,
acidic neutrons,scientific,1,,,0.3331444465285383
nonwhite persons,medical,1,,1.5439079753065337,
chronic functional somatic,medical,1,,1.5439079753065337,
carbon trioxide,scientific,1,,,0.3331444465285383
corp prime holdings,legal,1,2.4758404045502473,,
pet ct,medical,1,,1.7670515266207438,
11 2020,legal,1,2.2935188477562924,,
lung cancer,medical,1,,1.5439079753065337,
information confidential,legal,1,2.4758404045502473,,
patients chronic functional,medical,1,,1.5439079753065337,
gamma llc,legal,1,2.6299910843775054,,
law ohio,legal,1,2.2935188477562924,,
helium oxygen,scientific,1,,,0.3331444465285383
notice period,legal,1,2.4758404045502473,,
patients chronic,medical,1,,1.5439079753065337,
