ngram,pmi,hall_freq,faith_freq
contract terminates,3.1689875851101923,11,0
responsible delivery,3.1689875851101923,11,0
governing law,3.0819762081205626,10,0
days pay,2.8813055126584115,8,0
nexus corp,2.8813055126584115,8,0
delta gamma,2.6299910843775054,6,0
delta gamma llc,2.6299910843775054,6,0
gamma llc,2.6299910843775054,6,0
corp prime,2.4758404045502473,5,0
corp prime holdings,2.4758404045502473,5,0
information confidential,2.4758404045502473,5,0
nexus corp prime,2.4758404045502473,5,0
notice period,2.4758404045502473,5,0
prime holdings,2.4758404045502473,5,0
11 2020,2.2935188477562924,4,0
contract terminates nov,2.2935188477562924,4,0
delta responsible,2.2935188477562924,4,0
delta responsible delivery,2.2935188477562924,4,0
governing law ohio,2.2935188477562924,4,0
law ohio,2.2935188477562924,4,0
