ngram,pmi,hall_freq,faith_freq
risk factors,2.1035237632419563,6,0
functional somatic,1.7670515266207438,4,0
functional somatic symptoms,1.7670515266207438,4,0
pet ct,1.7670515266207438,4,0
somatic symptoms,1.7670515266207438,4,0
asthma control,1.5439079753065337,3,0
chronic functional,1.5439079753065337,3,0
chronic functional somatic,1.5439079753065337,3,0
increased risk,1.5439079753065337,3,0
lung cancer,1.5439079753065337,3,0
nonwhite persons,1.5439079753065337,3,0
patients chronic,1.5439079753065337,3,0
patients chronic functional,1.5439079753065337,3,0
second line,1.5439079753065337,3,0
acs nsqip,1.2562259028547529,2,0
acute diverticulitis,1.2562259028547529,2,0
blade rc,1.2562259028547529,2,0
blade rc lag,1.2562259028547529,2,0
brain injury,1.2562259028547529,2,0
carotid imt,1.2562259028547529,2,0
