ngram,pmi,hall_freq,faith_freq
acid chain,0.3331444465285383,1,0
acidic neutrons,0.3331444465285383,1,0
binary fission,0.3331444465285383,1,0
black light,0.3331444465285383,1,0
carbolic acid,0.3331444465285383,1,0
carbon trioxide,0.3331444465285383,1,0
chemical reactions,0.3331444465285383,1,0
china onatrio,0.3331444465285383,1,0
china onatrio canada,0.3331444465285383,1,0
copper core,0.3331444465285383,1,0
diverse behaviors,0.3331444465285383,1,0
dorsal pattern,0.3331444465285383,1,0
extra selection,0.3331444465285383,1,0
fashioned seeds,0.3331444465285383,1,0
forming stem,0.3331444465285383,1,0
forming stem cells,0.3331444465285383,1,0
helium oxygen,0.3331444465285383,1,0
jacket membrane,0.3331444465285383,1,0
lafleur proteins,0.3331444465285383,1,0
light lengths,0.3331444465285383,1,0
